line_id,ord_id,ord_type,prod_id,quan,u_price,disc_pct,ret_q,ret_dt,rcv_q,rcv_dt,qual_rt,status,crt_dt
1,102,SO,95,85,622.580585,0.50,0,,,,,Draft,2025-04-15
2,135,PO,99,78,587.7718907,0.56,0,,,,,Submitted,2025-04-15
3,376,PO,64,85,818.0537354,0.39,0,,,,,Draft,2025-04-15
4,453,PO,25,93,299.6780526,0.35,0,,,,,Submitted,2025-04-15
5,398,PO,46,7,52.28353886,0.33,0,,,,,Cancelled,2025-08-24
6,231,SO,81,67,582.769201,0.45,0,,,,,Received,2025-08-24
7,298,PO,90,80,250.2926804,0.59,0,,,,,Pending,2025-08-24
8,99,PO,72,76,483.2011328,0.95,0,,,,,Cancelled,2025-08-24
9,122,PO,56,96,128.4594906,0.07,0,,,,,Submitted,2025-12-23
10,203,PO,20,80,509.2905372,0.66,0,,,,,Pending,2025-02-02
11,356,SO,70,90,935.392065,0.58,0,,,,,Submitted,2025-02-02
12,137,PO,15,22,207.4895763,0.47,0,,,,,Submitted,2025-02-02
13,87,PO,39,8,804.9759702,0.31,0,,,,,Pending,2025-02-02
14,259,SO,9,56,24.99795954,0.84,0,,,,,Received,2025-02-02
15,56,SO,67,10,592.2683327,0.54,0,,,,,Received,2025-08-05
16,278,PO,4,96,301.1302453,0.05,0,,,,,Completed,2025-08-05
17,379,PO,53,78,935.5032345,0.34,0,,,,,Completed,2025-08-05
18,20,SO,50,75,689.7034915,0.49,0,,,,,Draft,2025-08-05
19,146,SO,74,99,581.5148706,0.31,0,,,,,Submitted,2025-08-05
20,196,PO,89,28,933.1229407,0.26,0,,,,,Draft,2025-05-21
21,150,SO,12,14,79.91183629,0.76,0,,,,,Pending,2025-05-21
22,58,SO,23,56,202.1208686,0.36,0,,,,,Pending,2025-05-21
23,315,PO,40,56,536.5145445,0.32,0,,,,,Pending,2025-05-21
24,394,SO,94,86,715.4735324,0.80,0,,,,,Received,2025-07-31
25,206,PO,64,29,602.686036,0.14,0,,,,,Pending,2025-07-31
26,322,SO,46,3,859.33567,0.05,0,,,,,Completed,2025-07-31
27,316,PO,55,13,538.6587931,0.77,5,2025-08-27,,,,Pending,2025-07-31
28,488,SO,22,60,849.5655855,0.52,0,,,,,Completed,2025-07-31
29,272,PO,88,89,440.8253485,0.41,0,,,,,Received,2025-12-15
30,98,SO,25,13,201.6706021,0.70,0,,,,,Submitted,2025-12-15
31,37,SO,3,30,370.883463,0.90,0,,,,,Submitted,2025-09-27
32,464,SO,94,69,986.5070802,0.59,0,,,,,Completed,2025-01-15
33,195,SO,18,15,614.9948093,0.45,0,,,,,Draft,2025-11-28
34,406,SO,11,70,415.974608,0.69,0,,,,,Completed,2025-11-28
35,166,SO,29,53,970.6454602,0.76,0,,,,,Draft,2025-11-28
36,160,PO,100,25,597.6248506,0.74,0,,,,,Cancelled,2025-07-28
37,273,PO,19,47,285.2244848,0.75,0,,,,,Submitted,2025-07-28
38,84,PO,34,100,961.9658874,0.07,0,,,,,Shipped,2025-03-10
39,416,SO,79,4,321.6288654,0.62,0,,,,,Shipped,2025-03-10
40,387,SO,28,43,558.5070676,0.02,0,,,,,Submitted,2025-08-09
41,303,SO,93,49,911.2468328,0.82,0,,,,,Pending,2025-08-09
42,329,SO,33,68,59.11059453,0.29,0,,,,,Received,2025-08-09
43,427,PO,28,48,672.8824847,0.61,0,,,,,Submitted,2025-07-02
44,108,PO,63,8,338.4694729,0.37,0,,,,,Received,2025-07-02
45,408,PO,60,89,867.6005295,0.52,0,,,,,Pending,2025-07-02
46,106,PO,25,33,125.6203264,0.57,0,,,,,Completed,2025-12-16
47,339,SO,17,26,154.7558973,0.20,0,,,,,Completed,2025-12-16
48,489,SO,99,86,657.0482961,0.98,0,,,,,Pending,2025-12-16
49,142,PO,48,44,684.9177116,0.51,0,,,,,Submitted,2025-12-16
50,128,PO,76,41,996.5034517,0.56,0,,,,,Received,2025-12-16
51,174,SO,92,55,572.9137161,0.29,0,,,,,Draft,2025-06-14
52,441,SO,91,84,720.0994081,0.50,0,,,,,Draft,2025-10-24
53,355,SO,71,80,941.3510411,0.16,0,,,,,Completed,2025-11-02
54,49,SO,78,19,764.2062482,0.37,0,,,,,Shipped,2025-11-02
55,98,PO,46,29,404.8734713,0.36,0,,,,,Pending,2025-11-02
56,476,PO,77,41,180.3092033,0.53,0,,,,,Completed,2025-11-02
57,275,SO,27,68,711.8859214,0.94,0,,,,,Completed,2025-11-02
58,66,SO,54,36,383.2323281,0.58,0,,,,,Cancelled,2025-12-25
59,313,SO,36,14,797.9250599,0.60,0,,,,,Submitted,2025-12-25
60,248,SO,27,75,780.4000677,0.31,0,,,,,Pending,2025-12-25
61,295,PO,96,98,398.3223983,0.90,0,,,,,Pending,2025-01-31
62,347,SO,89,97,759.2293756,0.30,0,,,,,Draft,2025-08-24
63,265,PO,75,1,672.955072,0.31,0,,,,,Shipped,2025-08-24
64,138,PO,80,61,232.0393706,0.92,0,,,,,Pending,2025-01-15
65,443,SO,14,60,709.0000063,0.18,0,,,,,Cancelled,2025-01-15
66,62,SO,47,98,903.3845197,0.11,0,,,,,Completed,2025-09-16
67,104,PO,68,27,875.6121706,0.03,0,,,,,Shipped,2025-09-16
68,108,PO,45,15,259.4372756,0.59,0,,,,,Submitted,2025-12-28
69,66,SO,10,21,534.8783307,0.44,0,,,,,Pending,2025-12-28
70,271,SO,12,39,874.5709246,0.00,0,,,,,Cancelled,2025-07-11
71,262,SO,100,60,684.4148487,0.54,0,,,,,Completed,2025-08-11
72,284,SO,69,67,893.8460446,0.43,0,,,,,Completed,2025-08-11
73,308,PO,24,53,477.3748299,0.50,0,,,,,Received,2025-08-11
74,59,PO,43,3,654.5397553,0.28,0,,,,,Pending,2025-05-13
75,319,SO,48,99,884.8161807,0.71,0,,,,,Submitted,2025-05-13
76,369,SO,8,23,43.64914348,0.27,0,,,,,Completed,2025-05-13
77,28,PO,32,26,823.4004588,0.24,0,,,,,Received,2025-12-02
78,101,SO,31,19,805.5532258,0.91,0,,,,,Pending,2025-05-22
79,287,SO,51,40,48.9045541,0.62,0,,,,,Received,2025-05-22
80,42,PO,13,62,84.45557142,0.81,0,,,,,Draft,2025-05-22
81,380,SO,44,30,834.3230781,0.41,0,,,,,Draft,2025-05-22
82,226,SO,17,39,745.2062056,0.65,0,,,,,Draft,2025-05-22
83,255,SO,26,80,622.3336274,0.34,0,,,,,Received,2025-10-10
84,385,SO,83,95,714.5912959,0.91,0,,,,,Received,2025-10-10
85,389,PO,43,22,318.1272269,0.08,0,,,,,Completed,2025-10-10
86,123,SO,84,61,739.7850465,0.72,0,,,,,Completed,2025-09-05
87,372,SO,3,96,913.2381279,0.10,0,,,,,Pending,2025-09-05
88,232,PO,1,94,603.6062413,0.55,0,,,,,Completed,2025-09-05
89,457,SO,95,12,587.8282426,0.51,0,,,,,Submitted,2025-01-20
90,24,SO,89,68,265.3643022,0.85,0,,,,,Completed,2025-01-20
91,442,SO,97,9,102.3072081,0.22,0,,,,,Shipped,2025-01-20
92,2,SO,9,67,424.8915051,0.31,0,,,,,Submitted,2025-01-20
93,369,SO,65,41,74.2375748,0.22,0,,,,,Shipped,2025-08-19
94,33,SO,84,37,214.943037,0.99,0,,,,,Submitted,2025-05-03
95,496,PO,26,75,948.8499996,0.54,0,,,,,Submitted,2025-05-03
96,198,SO,7,56,708.2288372,0.32,0,,,,,Submitted,2025-05-03
97,15,PO,42,46,57.46537942,0.09,0,,,,,Shipped,2025-05-03
98,252,SO,1,45,540.2747389,0.14,0,,,,,Shipped,2025-05-03
99,36,PO,62,38,954.6031043,0.79,0,,,,,Pending,2025-05-01
100,228,PO,14,13,574.0699475,0.92,0,,,,,Pending,2025-05-01
101,203,PO,72,53,209.0853501,0.44,0,,,,,Shipped,2025-05-01
102,459,PO,9,70,308.6453989,0.17,0,,,,,Cancelled,2025-05-01
103,264,SO,52,11,365.1931263,0.27,3,2025-08-01,,,,Pending,2025-07-23
104,74,SO,40,87,818.5708108,0.23,0,,,,,Cancelled,2025-07-23
105,108,PO,92,45,895.6759103,0.45,0,,,,,Draft,2025-07-23
106,373,PO,25,64,827.7069714,0.75,0,,,,,Submitted,2025-07-23
107,459,SO,82,86,538.5814806,0.04,0,,,,,Submitted,2025-05-22
108,121,PO,50,79,6.881643366,0.64,0,,,,,Received,2025-05-22
109,111,SO,59,86,484.49095,0.75,0,,,,,Shipped,2025-05-22
110,424,PO,69,60,445.5741325,0.13,0,,,,,Pending,2025-04-02
111,331,PO,75,46,890.4834568,0.67,0,,,,,Shipped,2025-11-07
112,88,PO,18,83,201.9208497,0.68,0,,,,,Draft,2025-11-07
113,468,PO,58,90,213.3025135,0.30,0,,,,,Shipped,2025-11-07
114,485,PO,82,61,868.7442672,0.72,0,,,,,Draft,2025-11-07
115,48,PO,63,62,838.6663089,0.01,0,,,,,Received,2025-12-19
116,76,PO,93,58,706.8369103,0.09,0,,,,,Completed,2025-12-19
117,486,SO,80,69,538.9962916,0.51,0,,,,,Shipped,2025-12-19
118,215,SO,52,43,357.0020412,0.00,0,,,,,Cancelled,2025-12-19
119,345,SO,26,77,911.1967282,0.71,0,,,,,Completed,2025-12-19
120,162,PO,66,57,731.5894382,0.12,0,,,,,Received,2025-08-08
121,125,SO,65,18,263.290812,0.62,0,,,,,Pending,2025-02-24
122,471,SO,37,100,952.3216597,0.69,0,,,,,Received,2025-02-24
123,17,SO,5,47,458.1207145,0.10,0,,,,,Submitted,2025-02-24
124,317,PO,100,69,207.5564591,0.63,0,,,,,Cancelled,2025-01-30
125,178,PO,25,20,148.9893814,0.36,0,,,,,Draft,2025-01-30
126,220,PO,16,47,977.8808137,0.87,0,,,,,Completed,2025-01-30
127,315,PO,80,94,211.7239199,0.21,0,,,,,Cancelled,2025-01-30
128,142,SO,19,1,68.80240727,0.92,0,,,,,Completed,2025-01-30
129,483,PO,46,28,186.4634826,0.97,0,,,,,Pending,2025-08-31
130,465,PO,6,10,403.6531935,0.85,0,,,,,Draft,2025-08-31
131,240,SO,17,26,277.4341358,0.81,0,,,,,Cancelled,2025-12-01
132,1,SO,52,94,194.6170911,0.55,0,,,,,Pending,2025-12-01
133,375,PO,18,48,147.6049065,0.03,0,,,,,Cancelled,2025-12-01
134,464,PO,90,8,316.6463107,0.76,0,,,,,Cancelled,2025-04-24
135,439,PO,88,44,5.591666058,0.21,0,,,,,Pending,2025-08-28
136,172,SO,78,21,865.1629481,0.12,0,,,,,Shipped,2025-08-28
137,412,PO,33,2,573.273618,0.08,0,,,,,Completed,2025-08-28
